x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,210-55-255,210-55-255,210-55-255,x,x,x
x,x,x,x,x,x,210-55-255,210-55-255,210-55-255,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,210-55-255,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
