x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,x,x,x,x,x
x,x,x,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,x,x,x,x,x
x,x,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,x,x,x
x,x,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,255-229-254,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
