x,x,x,x,x,x,x,x,x,x,x,x
86-91-201,86-91-201,x,x,x,x,x,x,x,x,x,x
86-91-201,x,86-91-201,x,x,x,x,x,x,x,x,x
86-91-201,x,86-91-201,x,x,x,x,x,x,x,x,x
86-91-201,x,86-91-201,x,x,x,x,x,x,x,x,x
86-91-201,x,86-91-201,x,x,x,x,x,x,x,x,x
86-91-201,x,86-91-201,x,x,x,x,x,x,x,x,x
86-91-201,86-91-201,x,x,x,x,x,x,x,x,x,x
86-91-201,x,x,x,x,x,x,x,x,x,x,x
86-91-201,x,x,x,x,x,x,x,x,x,x,x
86-91-201,x,x,x,x,x,x,x,x,x,x,x
86-91-201,x,x,x,x,x,x,x,x,x,x,x
86-91-201,x,x,x,x,x,x,x,x,x,x,x
86-91-201,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
