x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,255-26-26,x,255-26-26,x,x,x,x,x,x
x,x,x,x,255-26-26,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x
